Word,No of Project,Occurrance,times 1st Pos,frequency 1st pos,times Mid pos,frequency 2nd Pos,times last Pos,Frequency Last Pos,Rank 1,Rank 2,Rank 3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10,Rank11,Rank12,Rank13,Rank14,Rank15,Rank16,Rank17,Rank18,Rank19,Rank20
Audit,5,52,12,0.230769231,37,0.711538462,3,0.057692308,12,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purchase,3,52,11,0.211538462,27,0.519230769,14,0.269230769,11,30,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circle,10,52,10,0.192307692,30,0.576923077,12,0.230769231,10,22,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Len,10,52,10,0.192307692,3,0.057692308,39,0.75,10,16,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moving,9,52,10,0.192307692,33,0.634615385,9,0.173076923,10,24,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipv6,7,52,10,0.192307692,20,0.384615385,22,0.423076923,10,15,17,3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Combiner,6,52,9,0.173076923,37,0.711538462,6,0.115384615,9,2,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truncated,16,52,7,0.134615385,22,0.423076923,23,0.442307692,7,29,10,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rectangle,9,52,7,0.134615385,17,0.326923077,28,0.538461538,7,19,23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passing,10,52,6,0.115384615,45,0.865384615,1,0.019230769,6,30,6,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Caller,18,52,4,0.076923077,30,0.576923077,18,0.346153846,4,32,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping,2,52,4,0.076923077,40,0.769230769,8,0.153846154,4,27,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformed,9,52,4,0.076923077,33,0.634615385,15,0.288461538,4,37,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fraction,11,52,3,0.057692308,12,0.230769231,37,0.711538462,3,30,10,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na,10,52,3,0.057692308,37,0.711538462,12,0.230769231,3,18,18,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Repeatable,8,52,3,0.057692308,24,0.461538462,25,0.480769231,3,27,14,2,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0
Inferred,4,52,3,0.057692308,41,0.788461538,8,0.153846154,3,26,9,5,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marshalling,3,52,3,0.057692308,27,0.519230769,22,0.423076923,3,28,7,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symbols,10,52,2,0.038461538,15,0.288461538,35,0.673076923,2,19,22,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ts,11,52,1,0.019230769,25,0.480769231,26,0.5,1,4,17,12,2,7,0,0,3,2,2,2,0,0,0,0,0,0,0,0
Modes,14,52,1,0.019230769,7,0.134615385,44,0.846153846,1,6,13,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canceled,17,52,0,0,11,0.211538462,41,0.788461538,0,28,9,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crud,9,52,0,0,36,0.692307692,16,0.307692308,0,22,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interpolator,5,52,0,0,7,0.134615385,45,0.865384615,0,30,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Populated,9,52,0,0,26,0.5,26,0.5,0,25,17,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Validators,9,52,0,0,29,0.557692308,23,0.442307692,0,8,31,4,2,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0
Builtin,6,52,0,0,42,0.807692308,10,0.192307692,0,21,9,1,8,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Tld,3,52,0,0,18,0.346153846,34,0.653846154,0,13,4,3,0,2,5,2,5,6,3,3,1,4,0,1,0,0,0,0
deregister,10,51,41,0.803921569,0,0,10,0.196078431,41,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mqtt,2,51,37,0.725490196,14,0.274509804,0,0,37,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accepts,13,51,33,0.647058824,8,0.156862745,10,0.196078431,33,11,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Invert,16,51,31,0.607843137,8,0.156862745,12,0.235294118,31,10,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defer,10,51,27,0.529411765,11,0.215686275,13,0.254901961,27,15,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrink,14,51,20,0.392156863,23,0.450980392,8,0.156862745,20,21,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Four,20,51,14,0.274509804,26,0.509803922,11,0.215686275,14,10,7,7,6,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0
Stateful,9,51,13,0.254901961,23,0.450980392,15,0.294117647,13,30,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollover,8,51,13,0.254901961,24,0.470588235,14,0.274509804,13,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regexp,11,51,12,0.235294118,26,0.509803922,13,0.254901961,12,21,6,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Binder,10,51,8,0.156862745,10,0.196078431,33,0.647058824,8,24,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pentaho,1,51,7,0.137254902,35,0.68627451,9,0.176470588,7,6,14,14,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual,13,51,6,0.117647059,45,0.882352941,0,0,6,29,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contract,12,51,6,0.117647059,18,0.352941176,27,0.529411765,6,27,9,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
affected,10,51,6,0.117647059,32,0.62745098,13,0.254901961,6,22,9,7,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Routes,8,51,6,0.117647059,7,0.137254902,38,0.745098039,6,22,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Severity,9,51,5,0.098039216,5,0.098039216,41,0.803921569,5,36,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Href,13,51,5,0.098039216,7,0.137254902,39,0.764705882,5,32,5,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Repaired,2,51,5,0.098039216,36,0.705882353,10,0.196078431,5,25,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keywords,13,51,3,0.058823529,7,0.137254902,41,0.803921569,3,14,15,10,1,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Backups,6,51,1,0.019607843,15,0.294117647,35,0.68627451,1,20,21,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Unnecessary,8,51,1,0.019607843,47,0.921568627,3,0.058823529,1,31,7,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Copies,8,51,1,0.019607843,27,0.529411765,23,0.450980392,1,6,14,5,5,7,0,4,0,3,1,1,2,1,1,0,0,0,0,0
Namespaces,9,51,1,0.019607843,3,0.058823529,47,0.921568627,1,32,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug,3,51,1,0.019607843,49,0.960784314,1,0.019607843,1,44,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrinked,1,51,0,0,51,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Descriptions,10,51,0,0,5,0.098039216,46,0.901960784,0,8,16,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Displayed,11,51,0,0,25,0.490196078,26,0.509803922,0,23,14,6,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Conversions,9,51,0,0,10,0.196078431,41,0.803921569,0,17,19,8,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DD,3,51,0,0,3,0.058823529,48,0.941176471,0,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Even,14,51,0,0,47,0.921568627,4,0.078431373,0,12,4,3,3,5,3,2,0,1,5,3,5,2,3,0,0,0,0,0
Inapplicable,1,51,0,0,51,1,0,0,0,46,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stepname,1,51,0,0,13,0.254901961,38,0.745098039,0,28,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stall,5,50,46,0.92,3,0.06,1,0.02,46,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
provides,8,50,32,0.64,17,0.34,1,0.02,32,9,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uninstall,10,50,25,0.5,21,0.42,4,0.08,25,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fd,10,50,22,0.44,10,0.2,18,0.36,22,12,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AWS,8,50,17,0.34,31,0.62,2,0.04,17,26,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reroute,1,50,13,0.26,28,0.56,9,0.18,13,22,8,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
prime,10,50,10,0.2,38,0.76,2,0.04,10,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symbolic,8,50,7,0.14,42,0.84,1,0.02,7,19,21,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NPE,12,50,6,0.12,5,0.1,39,0.78,6,11,2,12,7,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0
Aligned,11,50,5,0.1,21,0.42,24,0.48,5,9,21,6,3,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0
Sticky,8,50,5,0.1,42,0.84,3,0.06,5,40,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ex,17,50,4,0.08,16,0.32,30,0.6,4,8,13,15,0,2,0,1,3,1,0,0,2,0,1,0,0,0,0,0
Variation,6,50,4,0.08,8,0.16,38,0.76,4,30,10,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lat,3,50,3,0.06,37,0.74,10,0.2,3,25,14,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Locales,13,50,2,0.04,4,0.08,44,0.88,2,26,15,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Stamp,10,50,2,0.04,18,0.36,30,0.6,2,0,33,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taps,2,50,2,0.04,15,0.3,33,0.66,2,16,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deletes,10,50,2,0.04,23,0.46,25,0.5,2,16,18,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modifications,7,50,2,0.04,9,0.18,39,0.78,2,33,8,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Boundaries,9,50,1,0.02,21,0.42,28,0.56,1,16,16,10,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Which,15,50,1,0.02,48,0.96,1,0.02,1,6,10,13,3,8,0,5,0,0,0,0,4,0,0,0,0,0,0,0
Dimensions,12,50,1,0.02,12,0.24,37,0.74,1,33,11,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Normalization,8,50,1,0.02,22,0.44,27,0.54,1,17,12,5,0,0,0,3,9,0,0,3,0,0,0,0,0,0,0,0
Vip,2,50,1,0.02,32,0.64,17,0.34,1,16,15,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crashes,3,50,0,0,16,0.32,34,0.68,0,6,21,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interaction,9,50,0,0,30,0.6,20,0.4,0,21,19,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Msgs,3,50,0,0,22,0.44,28,0.56,0,13,14,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extention,2,50,0,0,44,0.88,6,0.12,0,30,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple,3,49,43,0.87755102,5,0.102040816,1,0.020408163,43,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unblock,9,49,42,0.857142857,5,0.102040816,2,0.040816327,42,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deactivate,13,49,33,0.673469388,0,0,16,0.326530612,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grow,17,49,33,0.673469388,7,0.142857143,9,0.183673469,33,9,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DLNA,1,49,21,0.428571429,28,0.571428571,0,0,21,24,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Happy,7,49,19,0.387755102,30,0.612244898,0,0,19,14,4,3,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Conn,13,49,12,0.244897959,29,0.591836735,8,0.163265306,12,19,7,2,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Promotable,1,49,11,0.224489796,34,0.693877551,4,0.081632653,11,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMPP,1,49,11,0.224489796,29,0.591836735,9,0.183673469,11,18,6,4,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Formatted,12,49,9,0.183673469,38,0.775510204,2,0.040816327,9,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synced,7,49,8,0.163265306,31,0.632653061,10,0.204081633,8,20,17,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Preface,5,49,8,0.163265306,18,0.367346939,23,0.469387755,8,23,7,2,4,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Planner,3,49,6,0.12244898,25,0.510204082,18,0.367346939,6,26,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vcf,2,49,6,0.12244898,20,0.408163265,23,0.469387755,6,16,9,10,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dates,17,49,5,0.102040816,16,0.326530612,28,0.571428571,5,14,8,9,6,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Splitter,8,49,5,0.102040816,28,0.571428571,16,0.326530612,5,35,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
initializing,6,49,5,0.102040816,37,0.755102041,7,0.142857143,5,23,4,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vlan,1,49,4,0.081632653,15,0.306122449,30,0.612244898,4,29,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Workspace,6,49,4,0.081632653,22,0.448979592,23,0.469387755,4,34,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
splitfile,1,49,4,0.081632653,42,0.857142857,3,0.06122449,4,22,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appender,10,49,3,0.06122449,4,0.081632653,42,0.857142857,3,26,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
observers,9,49,3,0.06122449,10,0.204081633,36,0.734693878,3,25,14,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokenizer,8,49,3,0.06122449,32,0.653061224,14,0.285714286,3,25,11,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phonetic,3,49,3,0.06122449,42,0.857142857,4,0.081632653,3,39,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archived,6,49,2,0.040816327,11,0.224489796,36,0.734693878,2,39,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deeply,4,49,2,0.040816327,46,0.93877551,1,0.020408163,2,38,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avd,1,49,0,0,0,0,49,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cant,12,49,0,0,49,1,0,0,0,41,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Margins,6,49,0,0,17,0.346938776,32,0.653061224,0,8,9,17,9,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Abbreviated,3,49,0,0,47,0.959183673,2,0.040816327,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mutations,4,49,0,0,5,0.102040816,44,0.897959184,0,19,11,7,0,8,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Recipients,5,49,0,0,23,0.469387755,26,0.530612245,0,32,13,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
initiate,12,48,48,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
explore,7,48,34,0.708333333,10,0.208333333,4,0.083333333,34,6,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Preflight,4,48,23,0.479166667,18,0.375,7,0.145833333,23,18,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
listing,12,48,21,0.4375,11,0.229166667,16,0.333333333,21,7,8,4,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
Blur,7,48,16,0.333333333,14,0.291666667,18,0.375,16,28,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lb,3,48,14,0.291666667,34,0.708333333,0,0,14,29,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suspect,6,48,12,0.25,25,0.520833333,11,0.229166667,12,26,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semicolon,10,48,12,0.25,13,0.270833333,23,0.479166667,12,11,4,7,5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Fold,9,48,9,0.1875,26,0.541666667,13,0.270833333,9,32,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bookmark,6,48,9,0.1875,21,0.4375,18,0.375,9,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tex,2,48,9,0.1875,31,0.645833333,8,0.166666667,9,20,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proto,8,48,8,0.166666667,30,0.625,10,0.208333333,8,26,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cat,5,48,8,0.166666667,31,0.645833333,9,0.1875,8,36,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catches,4,48,7,0.145833333,13,0.270833333,28,0.583333333,7,22,7,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successor,8,48,5,0.104166667,12,0.25,31,0.645833333,5,21,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notebook,1,48,5,0.104166667,30,0.625,13,0.270833333,5,31,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deserializer,6,48,4,0.083333333,4,0.083333333,40,0.833333333,4,25,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promotion,3,48,4,0.083333333,26,0.541666667,18,0.375,4,25,8,2,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
Timeouts,14,48,3,0.0625,17,0.354166667,28,0.583333333,3,15,20,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
City,10,48,3,0.0625,15,0.3125,30,0.625,3,33,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clusters,9,48,3,0.0625,14,0.291666667,31,0.645833333,3,20,14,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retrieval,13,48,2,0.041666667,17,0.354166667,29,0.604166667,2,4,21,7,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cap,10,48,2,0.041666667,17,0.354166667,29,0.604166667,2,22,16,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hashcode,11,48,2,0.041666667,6,0.125,40,0.833333333,2,9,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ancestor,14,48,1,0.020833333,32,0.666666667,15,0.3125,1,33,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listening,12,48,1,0.020833333,19,0.395833333,28,0.583333333,1,36,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ip6,3,48,1,0.020833333,45,0.9375,2,0.041666667,1,42,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analyzers,3,48,1,0.020833333,8,0.166666667,39,0.8125,1,11,24,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wildcards,10,48,1,0.020833333,15,0.3125,32,0.666666667,1,16,22,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Subscribers,6,48,1,0.020833333,16,0.333333333,31,0.645833333,1,24,5,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Causes,13,48,0,0,23,0.479166667,25,0.520833333,0,14,12,7,6,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Extraction,11,48,0,0,21,0.4375,27,0.5625,0,6,30,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infos,14,48,0,0,13,0.270833333,35,0.729166667,0,7,18,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unless,10,48,0,0,44,0.916666667,4,0.083333333,0,5,20,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Insets,5,48,0,0,13,0.270833333,35,0.729166667,0,7,12,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,47,47,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unmarshall,4,47,42,0.893617021,4,0.085106383,1,0.021276596,42,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debounce,1,47,37,0.787234043,8,0.170212766,2,0.042553191,37,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reconcile,9,47,30,0.638297872,10,0.212765957,7,0.14893617,30,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
revoke,8,47,27,0.574468085,12,0.255319149,8,0.170212766,27,11,3,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Noop,11,47,22,0.468085106,12,0.255319149,13,0.276595745,22,16,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sketch,1,47,21,0.446808511,19,0.404255319,7,0.14893617,21,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFML,1,47,18,0.382978723,20,0.425531915,9,0.191489362,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrupted,17,47,17,0.361702128,17,0.361702128,13,0.276595745,17,21,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Third,13,47,16,0.340425532,27,0.574468085,4,0.085106383,16,12,6,7,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SIP,2,47,16,0.340425532,29,0.617021277,2,0.042553191,16,21,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fits,3,47,12,0.255319149,20,0.425531915,15,0.319148936,12,32,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cors,5,47,9,0.191489362,37,0.787234043,1,0.021276596,9,34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotation,10,47,8,0.170212766,6,0.127659574,33,0.70212766,8,31,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dst,7,47,7,0.14893617,30,0.638297872,10,0.212765957,7,13,7,1,6,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Voice,6,47,5,0.106382979,41,0.872340426,1,0.021276596,5,34,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pong,8,47,5,0.106382979,16,0.340425532,26,0.553191489,5,26,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORM,3,47,4,0.085106383,40,0.85106383,3,0.063829787,4,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,11,47,4,0.085106383,22,0.468085106,21,0.446808511,4,16,10,9,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Trailer,8,47,3,0.063829787,20,0.425531915,24,0.510638298,3,25,6,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,5,47,2,0.042553191,9,0.191489362,36,0.765957447,2,9,8,21,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notes,6,47,1,0.021276596,9,0.191489362,37,0.787234043,1,32,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Units,15,47,1,0.021276596,8,0.170212766,38,0.808510638,1,17,11,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St,9,47,1,0.021276596,25,0.531914894,21,0.446808511,1,18,2,5,9,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Unchanged,8,47,1,0.021276596,11,0.234042553,35,0.744680851,1,7,13,14,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
V6,6,47,1,0.021276596,26,0.553191489,20,0.425531915,1,1,28,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unmatched,14,47,0,0,45,0.957446809,2,0.042553191,0,20,2,15,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Inf,6,47,0,0,26,0.553191489,21,0.446808511,0,4,29,3,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Traits,3,47,0,0,2,0.042553191,45,0.957446809,0,7,10,6,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
subtract,16,46,38,0.826086957,4,0.086956522,4,0.086956522,38,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logout,11,46,24,0.52173913,9,0.195652174,13,0.282608696,24,13,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asm,7,46,20,0.434782609,24,0.52173913,2,0.043478261,20,21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rank,9,46,18,0.391304348,11,0.239130435,17,0.369565217,18,23,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoo,3,46,16,0.347826087,30,0.652173913,0,0,16,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cancellable,8,46,16,0.347826087,11,0.239130435,19,0.413043478,16,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grouped,9,46,11,0.239130435,25,0.543478261,10,0.217391304,11,13,8,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exceptional,4,46,11,0.239130435,32,0.695652174,3,0.065217391,11,25,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Counted,13,46,10,0.217391304,19,0.413043478,17,0.369565217,10,17,12,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Jsp,6,46,9,0.195652174,32,0.695652174,5,0.108695652,9,29,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Checkable,6,46,8,0.173913043,0,0,38,0.826086957,8,22,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
